,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
363,Meridian,56495,14.9,20.3,14.1,12.8,18.2,10.6,10.6,0.0,4.2592592592592595,58.8,41.2,698,1424,31,7.724719101123595
364,Merkel,67159,12.0,17.4,12.0,31.6,16.0,5.3,5.3,33.3,1.3142636258214146,73.9,26.1,988,2431,49,7.404360345536816
365,Mesquite,69649,9.1,13.8,8.7,11.3,8.7,8.4,8.4,25.0,5.156918928029665,62.0,38.0,1323,147226,11231,18.12859141727684
366,Mexia,33239,34.6,38.4,34.2,52.0,38.1,21.7,21.7,62.0,15.730165981422262,58.0,42.0,753,6865,335,14.857975236707938
367,Midland,90448,9.5,11.5,8.9,22.2,10.5,6.1,6.1,12.5,4.116803028452803,63.9,36.1,1400,129945,7718,23.094386086421178
368,Midlothian,119323,4.4,7.5,4.3,9.8,2.0,8.1,8.1,13.2,1.758011550220813,82.5,17.5,1506,38587,1363,9.718298908958976
369,Miles,59306,10.1,11.6,9.9,28.9,9.7,0.0,0.0,40.9,4.260651629072681,76.0,24.0,826,927,3,1.0787486515641855
370,Milford,-,16.1,22.0,18.8,33.8,14.4,16.9,16.9,41.9,8.852140077821012,52.7,47.3,928,736,34,5.434782608695652
371,Mineola,42147,16.0,14.9,17.8,51.0,8.0,18.1,18.1,48.3,3.269520326952033,53.7,46.3,912,5031,238,9.938382031405288
372,Mineral Wells,58529,16.3,20.0,16.1,25.8,18.8,12.9,12.9,31.0,8.183239312172908,58.6,41.4,961,15010,1022,17.721518987341774
373,Mission,56421,18.8,21.7,17.6,35.0,18.7,10.1,10.1,24.5,9.022908448148712,72.0,28.0,876,86577,4630,16.574840893077837
374,Missouri City,97211,4.6,5.8,4.8,9.4,6.5,4.1,4.1,13.0,2.53070589823188,80.1,19.9,1781,75323,2105,7.739999734476853
375,Monahans,75425,14.1,16.6,12.6,27.5,16.3,3.6,3.6,39.9,7.968499733048586,74.1,25.9,1118,7185,170,10.020876826722338
376,Mont Belvieu,132010,11.2,10.7,8.9,0.0,36.0,5.2,5.2,0.0,5.779535595815259,83.9,16.1,1563,8902,267,6.740058413839587
377,Montgomery,80265,15.7,11.8,10.6,50.0,14.3,7.9,7.9,0.0,2.592592592592593,60.6,39.4,1309,2679,155,10.451661067562522
378,Moulton,55045,7.7,20.3,9.0,4.1,9.5,13.8,13.8,0.0,1.968019680196802,71.0,29.0,1007,869,4,1.1507479861910241
379,Mount Pleasant,51689,13.0,18.3,13.5,16.9,12.4,14.5,14.5,43.2,6.3537492844876935,51.8,48.2,768,16044,1010,14.023934181002245
380,Mount Vernon,63750,12.2,12.4,9.8,15.8,17.4,3.4,3.4,19.1,6.503728251864126,61.5,38.5,949,2500,91,14.8
381,Muleshoe,76618,16.4,9.5,10.7,12.7,14.8,1.4,1.4,0.0,7.821651237483469,70.9,29.1,687,5066,93,9.080142123963679
382,Murphy,152847,2.3,4.5,3.9,0.0,5.1,9.1,9.1,23.6,0.5237363059773208,91.8,8.2,2354,21297,374,4.836361928910176
383,Mustang Ridge,90605,6.6,5.0,4.4,11.8,1.3,6.4,6.4,10.7,1.3596193065941535,87.0,13.0,1307,991,54,8.072653884964682
384,Nacogdoches,37612,25.7,35.8,19.8,35.3,36.2,14.4,14.4,60.5,15.610315610315611,36.9,63.1,873,32055,2108,20.090469505537357
385,Nassau Bay,74542,10.7,6.2,6.1,11.9,16.3,6.6,6.6,53.5,3.0488974113135185,46.7,53.3,1237,5105,269,7.835455435847209
386,Natalia,58177,14.4,28.2,25.8,35.1,36.0,3.3,3.3,0.0,6.41025641025641,73.0,27.0,929,1342,44,5.216095380029807
387,Navasota,47793,18.1,20.8,14.9,20.0,17.1,16.2,16.2,45.0,8.632523759239705,62.6,37.4,771,8459,633,27.189975174370492
388,Nederland,73706,5.2,10.3,8.2,12.5,17.0,5.9,5.9,18.7,3.816380663671304,72.4,27.6,1265,18034,685,8.872130420317179
389,Needville,67875,26.6,7.9,22.9,74.3,4.4,4.2,4.2,0.0,15.029860650298607,54.6,45.4,1186,3040,83,10.855263157894738
390,New Boston,59030,17.7,24.5,19.2,60.2,20.7,8.3,8.3,30.4,3.975668042580925,57.3,42.7,812,4557,315,17.116524028966424
391,New Braunfels,85827,5.4,6.7,6.2,10.2,10.7,4.8,4.8,17.5,2.479284992886852,63.8,36.2,1426,107017,4832,11.18513880972182
392,Newton,41413,26.3,27.6,19.8,33.3,27.0,10.0,10.0,53.3,13.726437892701789,59.9,40.1,861,1997,34,3.5052578868302455
393,Nolanville,66295,15.1,19.1,12.3,44.6,30.3,0.7,0.7,0.0,5.956528953044633,67.0,33.0,1033,6560,135,7.317073170731708
394,Northlake,105962,12.3,12.4,5.4,0.0,0.0,17.4,17.4,66.7,12.368803487808815,56.5,43.5,1523,8513,333,7.165511570539175
395,North Richland Hills,88656,6.8,7.3,5.2,15.3,7.9,4.5,4.5,9.3,3.1139021221307925,64.7,35.3,1465,70108,3533,11.296856278884007
396,Oak Ridge North,106944,7.3,4.7,4.4,3.0,13.7,2.8,2.8,4.5,4.694214876033058,96.4,3.6,2050,3011,194,6.9744271006310194
397,Odem,47059,13.4,24.9,11.4,12.4,15.1,10.9,10.9,0.0,0.5413385826771654,59.2,40.8,921,2277,75,8.34431269213878
398,Odessa,71293,11.9,17.5,11.5,23.3,12.0,8.2,8.2,32.1,7.852059269630147,59.1,40.9,1282,110163,7888,27.43207792089903
399,Olmos Park,179500,2.6,8.8,3.8,0.0,29.6,2.8,2.8,3.7,4.330708661417323,80.5,19.5,1071,2151,134,0.9298000929800093
400,Olney,39770,18.9,27.9,17.2,45.4,18.2,18.8,18.8,57.9,19.016949152542377,71.1,28.9,587,3033,122,14.177382129904384
401,Onalaska,56168,19.9,24.1,17.2,30.7,19.1,14.0,14.0,73.0,6.295081967213115,75.2,24.8,999,3225,190,23.25581395348837
402,Orange,58756,13.1,19.7,12.3,17.9,15.4,9.3,9.3,12.3,7.368365010914124,56.6,43.4,987,19056,771,12.174643157010916
403,Overton,53250,5.5,20.0,15.2,10.5,13.2,11.7,11.7,41.7,8.989197530864198,64.3,35.7,875,2294,94,12.205754141238012
404,Ovilla,109130,3.6,4.8,4.7,25.0,7.4,3.2,3.2,32.3,3.8018150600932055,92.2,7.8,-,4365,57,2.7491408934707904
405,Oyster Creek,38750,11.8,24.5,12.6,15.4,22.2,2.8,2.8,38.1,4.492512479201332,78.5,21.5,967,1196,127,35.11705685618729
406,Palacios,59469,14.3,16.8,14.3,38.4,0.0,0.0,0.0,-,2.0440608675902796,72.2,27.8,913,4425,128,6.553672316384181
407,Palestine,43759,16.7,19.4,14.0,23.3,17.9,12.4,12.4,23.4,9.1592245698105,52.6,47.4,981,19113,1424,24.224349918903364
408,Palmer,81310,8.0,7.3,5.6,16.7,6.9,0.0,0.0,25.7,7.392120075046904,66.5,33.5,1437,2510,62,5.179282868525896
409,Palmhurst,80707,7.0,9.7,9.8,15.1,5.6,15.2,15.2,38.5,1.1166730843280708,80.4,19.6,795,2600,246,8.461538461538462
410,Palmview,41483,23.3,29.5,24.5,37.9,17.4,17.4,17.4,39.1,11.236470974089864,78.9,21.1,703,15919,688,15.578868019347949
411,Pampa,52966,16.3,19.8,14.9,31.6,13.4,12.6,12.6,8.7,6.24546553808948,68.5,31.5,844,16343,918,15.725387015847765
412,Panhandle,83867,5.2,8.8,3.7,0.0,0.0,10.0,10.0,0.0,5.444444444444444,81.2,18.8,956,2310,7,1.7316017316017316
413,Pantego,84125,6.7,2.5,5.6,0.0,18.1,4.7,4.7,0.0,2.401921537229784,64.5,35.5,1373,2497,101,6.007208650380457
414,Paris,44022,20.9,23.1,19.0,37.9,16.8,22.6,22.6,38.2,9.605488850771868,49.9,50.1,851,24392,2141,32.428665136110205
415,Parker,202727,4.0,1.3,2.4,14.4,0.0,0.0,0.0,0.0,0.0,98.5,1.5,-,6144,72,1.953125
416,Pasadena,64698,16.3,19.6,13.0,17.8,15.4,10.2,10.2,30.8,6.713721817087041,53.8,46.2,1159,145954,8873,17.389040382586295
417,Patton Village,71691,18.5,20.4,17.5,26.1,16.0,10.9,10.9,52.3,2.328863796753705,91.4,8.6,922,1799,84,6.1145080600333515
418,Payne Springs,42500,13.9,17.7,20.3,24.5,25.6,17.6,17.6,0.0,5.5464926590538335,84.1,15.9,1075,755,1,0.0
419,Pearland,111123,3.7,5.3,4.2,11.7,5.6,5.3,5.3,3.0,2.361638523066979,76.6,23.4,1622,125894,5311,8.499213624160006
420,Pearsall,41761,21.7,35.1,25.0,45.9,28.2,1.5,1.5,14.2,5.361894624800426,52.8,47.2,824,7661,354,14.488970108340947
421,Penitas,50110,24.7,29.4,20.4,21.3,30.5,11.8,11.8,32.6,6.051005860921907,81.3,18.7,611,6348,82,4.410838059231254
422,Perryton,61067,10.0,17.0,12.0,7.5,19.8,8.6,8.6,0.0,4.169099614621044,71.3,28.7,829,8143,288,12.034876581112613
423,Petersburg,39196,12.4,19.4,13.0,32.4,13.9,3.0,3.0,0.0,7.8597339782345825,69.2,30.8,610,972,6,4.11522633744856
424,Pflugerville,111151,5.3,6.3,5.7,16.2,5.9,7.1,7.1,26.8,3.0263342532391597,72.7,27.3,1677,67817,2516,4.9840010616807
425,Pharr,45016,28.3,32.3,25.5,43.6,21.3,19.2,19.2,32.0,12.897475124220852,58.7,41.3,926,79558,3475,14.102918625405366
426,Pilot Point,68676,9.7,8.0,2.0,0.0,0.0,8.4,8.4,25.0,0.5959202383680954,60.5,39.5,1202,4892,79,4.905968928863451
427,Pinehurst,49125,14.0,15.5,11.3,18.9,13.9,6.8,6.8,15.4,6.232686980609419,67.2,32.8,955,2209,89,5.885015844273426
428,Pineland,29722,42.0,43.9,36.8,44.9,36.6,49.4,49.4,100.0,14.017094017094015,69.2,30.8,513,910,15,10.989010989010989
429,Pittsburg,46885,12.3,22.6,19.1,16.9,24.7,12.4,12.4,0.0,4.808136846971799,58.9,41.1,750,4433,242,16.241822693435598
430,Plainview,46274,16.8,25.9,16.9,16.4,23.9,15.0,15.0,19.2,9.015634643077556,52.6,47.4,763,19554,1111,13.552214380689373
431,Plano,105679,6.2,7.6,5.8,17.6,8.8,5.7,5.7,17.5,3.7466931100441383,56.7,43.3,1699,289847,12488,7.514309273513267
432,Pleasanton,70685,12.4,12.5,11.3,7.6,17.6,12.4,12.4,48.1,2.883506343713956,67.1,32.9,1047,10951,804,20.911332298420234
433,Point Comfort,90625,18.4,4.5,16.9,71.9,20.3,1.6,1.6,-,13.100436681222709,71.2,28.8,984,565,4,7.079646017699115
434,Ponder,98227,0.8,3.2,2.5,0.0,8.7,0.5,0.5,47.4,1.2422360248447204,87.6,12.4,2045,2417,42,7.860984691766652
435,Port Aransas,69063,8.5,4.9,7.2,38.6,15.9,4.0,4.0,-,4.598825831702544,71.4,28.6,2098,3286,511,34.083992696287275
436,Port Arthur,45357,23.8,29.4,22.6,32.0,22.5,20.4,20.4,33.4,13.621800706302109,57.2,42.8,938,55899,3014,19.875131934381653
437,Port Isabel,42601,21.3,31.4,22.0,36.8,22.0,21.2,21.2,52.4,13.743430017519954,60.7,39.3,661,5165,412,16.65053242981607
438,Portland,83493,8.1,11.3,7.8,19.3,10.4,7.4,7.4,15.6,5.3777400509312425,65.6,34.4,1731,20742,807,10.41365345675441
439,Port Lavaca,58871,8.6,12.1,9.5,19.0,9.4,7.9,7.9,10.4,3.5590662998136153,73.0,27.0,903,11048,454,8.96089790007241
440,Port Neches,85086,6.0,11.1,8.7,34.0,12.5,4.4,4.4,29.2,4.724933451641526,75.8,24.2,1038,13293,417,11.660272323779433
441,Poteet,58214,10.9,6.9,5.4,5.9,5.8,5.7,5.7,16.0,2.9661016949152543,60.8,39.2,744,2970,102,13.131313131313131
442,Primera,61108,18.6,30.0,17.8,18.7,29.1,16.6,16.6,48.7,5.039279555470396,78.3,21.7,906,5319,52,4.136115811242715
443,Princeton,93586,4.9,7.8,6.0,11.8,4.3,8.7,8.7,10.5,3.3105394551177683,78.6,21.4,1734,22867,626,9.839506712730135
444,Prosper,178224,1.6,3.9,2.4,0.0,2.5,4.5,4.5,4.5,1.7012023535431058,88.9,11.1,1892,37752,812,3.5759694850603942
445,Queen City,40156,19.6,22.2,19.3,35.5,23.1,14.1,14.1,100.0,8.958652373660032,59.0,41.0,744,1410,37,7.092198581560283
446,Quitman,58924,7.5,12.8,7.4,13.3,10.2,6.1,6.1,18.5,3.6057692307692304,62.4,37.6,1027,2021,24,8.411677387431965
447,Rancho Viejo,88304,3.0,10.8,6.2,28.9,14.3,8.3,8.3,24.2,1.7412935323383083,72.5,27.5,1174,2867,41,3.836763167073596
448,Ranger,30344,24.6,24.6,21.4,30.9,11.8,18.1,18.1,0.0,6.315311222171741,58.6,41.4,631,2287,91,14.429383471797115
449,Raymondville,42109,34.5,31.8,27.0,31.8,33.0,20.2,20.2,58.6,12.377777777777778,63.4,36.6,816,10552,694,25.01895375284306
450,Red Oak,105309,5.5,10.7,6.0,12.3,12.4,0.5,0.5,28.5,1.177030888556266,78.3,21.7,1427,16396,656,9.575506221029519
451,Refugio,46458,19.7,40.1,20.3,21.4,32.4,5.4,5.4,47.6,18.473282442748097,54.7,45.3,697,2866,64,4.884856943475227
452,Rhome,85625,5.4,10.2,6.8,3.3,15.0,2.7,2.7,0.0,4.6255506607929515,82.7,17.3,1250,1839,68,2.175095160413268
453,Rice,72969,6.3,19.7,8.9,3.4,13.3,5.9,5.9,0.0,1.8800358102059087,74.9,25.1,1154,1259,53,5.559968228752979
454,Richardson,94362,9.7,11.9,6.6,19.1,11.0,8.3,8.3,24.7,5.475620203150404,51.6,48.4,1725,115771,5487,5.234471499771099
455,Richland Hills,73601,8.8,5.2,5.9,17.2,8.1,3.3,3.3,35.0,5.471014492753623,67.7,32.3,1269,8385,622,20.989862850327967
456,Richmond,51832,14.3,19.4,17.0,36.8,13.0,6.4,6.4,14.3,6.905771713073944,55.3,44.7,1175,12936,564,8.812615955473097
457,Richwood,75500,1.6,6.2,5.0,9.4,3.6,0.9,0.9,0.0,2.360697575499787,62.5,37.5,1238,4730,125,6.553911205073996
458,Rio Grande City,44307,22.7,37.3,22.8,35.6,27.7,14.2,14.2,42.8,14.737628131151991,72.6,27.4,709,15705,530,2.8016555237185607
459,Rio Hondo,58487,17.7,21.1,15.6,23.6,9.2,21.5,21.5,-,9.15032679738562,67.7,32.3,921,2012,78,11.928429423459244
460,River Oaks,66754,4.4,9.3,5.5,2.3,11.0,3.1,3.1,15.7,4.794705564559697,78.2,21.8,1176,7420,352,9.568733153638815
461,Roanoke,113171,2.9,2.7,3.6,13.5,5.4,2.9,2.9,10.6,0.909566126502875,58.5,41.5,1698,10024,487,6.584197924980049
462,Robinson,93148,2.0,2.2,3.3,2.0,6.6,2.5,2.5,0.0,1.1130827552831102,77.2,22.8,1385,12954,444,11.579434923575729
463,Robstown,35417,26.4,34.0,25.8,23.9,19.6,35.8,35.8,52.4,13.353791328449812,70.7,29.3,952,10155,792,24.32299359921221
464,Rockdale,39911,16.9,11.2,10.8,29.8,7.2,5.5,5.5,43.3,6.109324758842444,59.7,40.3,942,5473,326,13.520920884341313
465,Rockport,62394,10.5,17.5,13.3,56.2,21.6,5.8,5.8,40.7,4.118236472945892,74.1,25.9,1280,10759,669,14.127707035969884
466,Rockwall,114799,2.8,3.3,3.2,13.4,4.5,2.9,2.9,16.7,1.4154536222071767,75.5,24.5,1728,51724,1822,6.786018096048256
467,Rogers,69866,21.4,22.9,15.5,13.9,17.2,11.6,11.6,16.7,6.578947368421052,74.7,25.3,897,1107,1,0.0
468,Rollingwood,231875,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,95.0,5.0,3500+,1398,57,0.7153075822603719
469,Roma,26951,31.1,35.9,24.8,41.3,16.0,8.5,8.5,29.9,14.326597866620414,60.3,39.7,468,11547,341,12.037758725210011
470,Roman Forest,117652,0.9,3.3,1.7,0.0,2.8,1.2,1.2,8.9,1.7467248908296942,92.7,7.3,1757,1963,130,13.245033112582782
471,Roscoe,44375,6.6,21.5,13.7,26.2,6.4,26.9,26.9,58.0,2.3208191126279862,84.1,15.9,883,1231,8,2.437043054427295
472,Rosenberg,66046,12.7,18.5,11.8,17.7,15.5,9.4,9.4,12.5,9.770488394458452,53.7,46.3,1294,40472,2394,20.11267048823878
473,Round Rock,91888,6.9,8.4,6.0,15.8,9.2,5.7,5.7,15.1,3.30296698704555,55.6,44.4,1586,127349,6793,12.5246370210995
474,Rowlett,110954,6.6,8.2,6.3,14.2,5.1,7.4,7.4,19.8,3.6758975011531914,79.2,20.8,1807,65196,2501,11.411743051720965
475,Royse City,114917,3.5,6.5,5.1,18.3,2.9,3.8,3.8,50.0,1.803060545575516,87.1,12.9,1740,18613,916,10.154193305754042
476,Runaway Bay,91719,3.4,7.3,4.7,24.5,5.2,2.5,2.5,0.0,3.0450669914738127,81.0,19.0,1292,1764,33,3.968253968253968
477,Rusk,68611,7.0,13.6,9.3,15.7,7.3,12.5,12.5,24.4,4.282407407407407,66.7,33.3,946,5583,282,14.329213684399068
478,Sabinal,28419,14.5,39.3,24.0,18.1,24.7,26.3,26.3,100.0,3.622047244094488,73.9,26.1,529,1410,40,4.964539007092199
479,Sachse,127888,1.8,2.2,2.2,16.8,1.9,0.7,0.7,11.7,1.0965306489304332,89.6,10.4,1670,31317,618,5.97119775201967
480,Saginaw,99752,2.9,4.7,3.5,11.3,3.5,2.1,2.1,6.6,1.9510980115405376,72.4,27.6,1668,23993,866,10.08627516358938
481,San Angelo,65040,9.6,14.0,9.1,18.9,11.0,9.1,9.1,28.8,6.164821124361159,64.0,36.0,1037,99243,7973,23.064599014540068
482,San Antonio,59593,16.4,19.0,14.0,28.3,17.6,11.5,11.5,30.5,7.932419069336966,51.9,48.1,1189,1465608,154417,25.273470122979678
483,San Augustine,24628,30.5,33.2,27.5,33.2,30.7,23.4,23.4,19.0,17.608951707891638,43.5,56.5,747,1844,109,10.845986984815617
484,San Benito,38100,31.7,27.9,23.0,33.4,25.0,16.9,16.9,48.4,12.867150055302936,68.1,31.9,866,24712,985,8.295564907737132
485,San Elizario,46486,27.6,29.4,22.5,30.5,25.9,7.5,7.5,53.6,11.106695807669382,64.7,35.3,853,10080,82,1.984126984126984
486,Sanger,86083,3.2,7.1,5.7,6.9,8.5,3.8,3.8,39.1,2.7161862527716183,73.9,26.1,1247,9877,423,9.820795788194797
487,San Juan,51497,22.8,24.6,17.5,21.2,20.0,8.8,8.8,19.3,11.654668102715265,77.9,22.1,872,35806,1474,11.646092833603307
488,San Marcos,47394,21.6,33.2,15.7,17.2,18.1,23.7,23.7,46.8,16.093726925159576,28.9,71.1,1251,69470,4794,22.80120915503095
489,San Saba,43224,19.6,18.7,17.0,22.1,19.1,13.9,13.9,45.5,5.973101265822785,77.0,23.0,932,3197,64,5.630278385986863
490,Santa Anna,43977,17.3,19.0,18.4,27.5,29.8,9.6,9.6,69.6,8.454106280193237,61.9,38.1,439,1029,29,6.802721088435374
491,Santa Fe,91209,7.0,5.1,6.1,8.6,4.4,6.5,6.5,8.9,3.3246875736854515,82.7,17.3,947,12802,349,4.061865333541634
492,Schertz,94173,5.5,5.8,4.9,19.2,7.8,4.0,4.0,12.1,2.79769935383086,78.2,21.8,1513,43162,1164,6.487187804086928
493,Schulenburg,49969,12.9,19.9,15.8,10.7,17.0,16.2,16.2,36.6,13.27148043565954,62.4,37.6,1071,2742,147,8.388037928519328
494,Seabrook,96223,5.6,7.2,6.5,16.2,14.8,6.9,6.9,21.5,3.569848060185868,59.1,40.9,1482,13544,526,15.135853514471352
495,Seadrift,46701,10.7,5.7,14.0,43.4,0.0,0.0,0.0,0.0,0.0,77.4,22.6,1355,997,12,6.018054162487462
496,Seagoville,65300,12.8,15.5,10.5,15.0,7.6,13.3,13.3,17.1,7.966193130731883,76.4,23.6,1193,19389,793,5.7764711950074785
497,Sealy,60313,15.9,22.4,15.1,26.0,14.1,18.2,18.2,8.7,4.689349112426036,73.4,26.6,1117,6720,273,4.315476190476191
498,Seguin,58165,15.8,19.7,14.6,24.8,15.0,10.1,10.1,37.7,7.17891585140828,64.2,35.8,1062,32452,2177,22.55639097744361
499,Selma,95692,9.6,7.2,6.0,11.3,9.0,7.2,7.2,10.5,4.591234915161964,55.9,44.1,1739,11824,751,9.895128552097429
500,Seminole,73074,7.2,9.4,7.6,16.0,5.9,9.0,9.0,86.3,3.730043541364296,71.6,28.4,878,7066,281,12.170959524483441
501,Seven Points,41599,16.0,13.3,14.0,18.5,13.1,15.3,15.3,51.9,6.31653655074521,72.7,27.3,738,1430,98,25.174825174825177
502,Seymour,53077,11.1,15.7,14.2,43.3,10.8,14.4,14.4,0.0,3.5833025489471737,68.7,31.3,498,2590,32,4.2471042471042475
503,Shallowater,71572,6.7,6.7,7.4,18.5,9.9,8.6,8.6,42.3,4.620123203285421,83.9,16.1,1028,2917,74,4.11381556393555
504,Shavano Park,187750,3.1,3.8,4.5,0.0,3.9,5.1,5.1,0.0,1.4672686230248306,96.6,3.4,-,3609,159,4.156275976724855
505,Shenandoah,-,11.9,8.9,11.2,0.0,61.5,0.0,0.0,37.5,10.271206001154068,58.2,41.8,1253,3682,603,9.777294948397609
506,Sherman,58020,11.3,14.2,10.5,18.2,11.7,9.6,9.6,26.0,4.799072825752738,52.2,47.8,1109,45881,2607,18.787733484448903
507,Shiner,90119,4.4,7.2,3.5,21.6,4.6,3.3,3.3,0.0,2.2244191794364805,80.7,19.3,1172,2183,51,10.077874484654146
508,Silsbee,58641,9.9,13.7,11.9,30.7,13.8,5.0,5.0,0.0,3.677360774818402,69.8,30.2,940,6831,306,8.490704142878057
509,Sinton,46411,34.5,34.8,25.8,49.4,24.5,6.3,6.3,8.8,16.031411606971844,66.0,34.0,537,5602,291,12.85255265976437
510,Slaton,54278,13.6,9.4,9.3,41.4,5.4,1.4,1.4,28.6,4.565104616980806,74.3,25.7,1023,5752,216,7.64951321279555
511,Smithville,56627,8.7,6.1,6.8,1.0,13.8,6.8,6.8,26.0,3.100381194409149,68.2,31.8,762,4150,211,12.53012048192771
512,Snyder,54915,15.0,11.2,12.8,25.8,17.1,6.8,6.8,50.0,5.229425970648338,76.4,23.6,1044,11179,472,16.72779318364791
513,Socorro,47649,20.3,26.2,22.9,34.1,24.8,12.8,12.8,57.8,8.31728045325779,79.6,20.4,956,37952,1066,11.672639123102867
514,Somerset,73217,15.5,16.1,16.2,22.7,23.1,5.6,5.6,65.4,6.514657980456026,70.8,29.2,1025,1777,23,3.9392234102419805
515,Somerville,59394,14.5,29.8,21.6,18.9,41.5,14.6,14.6,0.0,11.717495987158909,77.8,22.2,816,1346,48,12.63001485884101
516,Sonora,53400,16.9,21.6,12.6,20.1,24.0,0.0,0.0,48.2,8.471584892340275,60.1,39.9,659,2432,37,4.5230263157894735
517,Sour Lake,65515,14.7,16.6,15.6,16.8,24.7,8.7,8.7,31.0,11.585665193912616,68.2,31.8,1152,1807,71,12.728278915329275
518,South Houston,51006,21.0,24.9,18.6,28.7,16.5,4.9,4.9,18.3,9.129196085717824,51.9,48.1,1131,15613,1457,24.40274130532249
519,Southlake,250000+,1.3,2.7,2.1,14.5,3.4,4.2,4.2,1.8,1.1146963919037842,95.0,5.0,2518,30949,878,3.3603670554783673
520,South Padre Island,62557,8.6,22.0,9.6,44.7,0.0,17.8,17.8,0.0,9.028960817717206,71.2,28.8,1361,2048,810,106.93359375
521,Southside Place,187019,1.1,5.6,3.7,10.3,21.4,33.3,33.3,15.9,2.8664495114006514,62.3,37.7,1786,1820,51,0.5494505494505495
522,Spearman,62601,7.4,10.4,10.3,23.6,9.4,7.8,7.8,0.0,3.0209406110538963,72.6,27.4,830,3034,0,0.0
523,Splendora,64361,11.8,15.0,8.5,13.6,8.7,6.7,6.7,26.7,5.905319668130796,65.8,34.2,1119,1860,312,10.752688172043012
524,Springtown,69500,6.3,14.3,12.0,29.5,15.8,7.4,7.4,64.6,6.66460012399256,60.1,39.9,1339,3638,71,8.521165475536009
525,Stafford,87245,9.4,12.4,6.2,9.4,8.6,7.9,7.9,16.2,4.396817099378522,45.8,54.2,1368,17110,1575,19.28696668614845
526,Stamford,43750,21.9,28.6,24.3,44.2,26.6,22.3,22.3,0.0,12.008733624454148,70.8,29.2,1068,3005,82,6.655574043261232
527,Stanton,70543,14.3,25.1,14.9,31.3,6.4,22.0,22.0,41.0,2.6446914526638556,50.8,49.2,891,2630,91,7.224334600760456
528,Stephenville,48088,19.6,19.6,10.5,17.2,16.6,11.2,11.2,42.1,10.88731335266946,45.9,54.1,1064,21505,712,10.276679841897232
529,Stratford,51036,11.7,11.9,10.4,5.6,9.9,14.2,14.2,0.0,5.258833196384552,84.8,15.2,933,1973,3,0.5068423720223011
530,Sudan,69175,7.7,7.7,6.3,11.8,7.5,5.6,5.6,0.0,0.3795066413662239,81.1,18.9,758,934,4,2.1413276231263385
531,Sugar Land,132247,4.7,4.4,4.7,9.7,11.3,4.9,4.9,8.7,2.18522372528616,81.2,18.8,1868,107989,3147,4.315254331459685
532,Sullivan City,39067,27.9,30.8,24.7,24.4,30.1,27.4,27.4,19.0,17.692111309675774,88.3,11.7,638,3896,118,9.496919917864476
533,Sulphur Springs,54950,16.2,16.1,15.1,31.0,20.1,12.1,12.1,49.6,7.308778234086242,55.0,45.0,955,16128,356,5.642361111111111
534,Sunnyvale,152632,7.7,6.8,5.4,26.4,3.6,13.1,13.1,86.1,0.8637114187730216,84.5,15.5,999,8381,264,3.2215726047011097
535,Sunray,54609,14.8,16.3,14.7,23.7,20.1,5.7,5.7,10.0,5.594405594405594,78.3,21.7,970,1701,23,3.527336860670194
536,Sunrise Beach Village,78333,1.5,3.7,2.8,9.4,2.9,1.9,1.9,0.0,0.4419889502762431,86.2,13.8,981,787,12,1.2706480304955527
537,Sunset Valley,141250,0.0,5.9,3.7,-,0.0,13.3,13.3,0.0,2.142857142857143,91.9,8.1,3500+,637,217,15.698587127158554
538,Surfside Beach,86544,4.4,14.2,9.4,30.0,2.5,13.5,13.5,72.2,7.704918032786885,81.8,18.2,1769,669,40,17.937219730941703
539,Sweeny,63125,3.4,22.8,7.8,23.2,9.7,2.2,2.2,68.1,7.487853672477851,69.3,30.7,1088,3566,166,17.666853617498596
540,Sweetwater,44306,13.5,23.1,18.4,36.3,12.0,19.0,19.0,39.4,7.332429290972492,56.9,43.1,801,10420,550,23.032629558541267
541,Taft,54286,23.0,30.7,17.4,47.3,7.9,7.0,7.0,0.0,11.997152011391954,63.8,36.2,1079,2835,61,5.291005291005291
542,Tahoka,41282,23.4,23.9,16.6,23.1,24.6,11.8,11.8,36.4,11.831103678929766,71.5,28.5,1043,2419,89,12.81521289789169
543,Tatum,48125,19.0,28.2,21.4,61.1,24.8,7.8,7.8,11.1,9.32524639878696,63.8,36.2,825,1357,13,0.0
544,Taylor,66626,10.8,13.4,10.6,14.1,11.8,10.7,10.7,19.2,3.708281829419035,70.9,29.1,1041,17259,696,12.225505533344922
545,Teague,63640,18.2,13.0,19.4,15.4,40.5,12.1,12.1,33.3,9.745260663507109,78.7,21.3,631,3497,117,8.578781812982557
546,Temple,61003,14.0,19.8,12.8,29.0,18.7,10.1,10.1,23.7,7.583106300318865,52.8,47.2,1088,88484,4413,14.65801726865874
547,Tenaha,24702,27.5,49.2,39.5,62.3,45.7,7.1,7.1,-,20.186046511627907,50.7,49.3,488,995,0,0.0
548,Terrell,61513,15.1,19.9,14.7,31.7,15.5,8.3,8.3,16.5,9.849959912953842,57.9,42.1,1140,19670,1233,14.94661921708185
