,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
77,Caddo Mills,73056,4.3,7.2,6.5,25.3,5.7,7.8,7.8,4.7,2.1505376344086025,61.9,38.1,972,3568,67,3.9237668161434978
78,Caldwell,57222,9.4,19.9,13.2,15.3,31.6,4.5,4.5,100.0,7.540899795501023,66.2,33.8,965,4249,128,5.64838785596611
79,Calvert,63750,0.5,9.3,7.0,20.7,13.2,1.6,1.6,35.0,3.0643513789581207,53.3,46.8,846,965,38,8.290155440414507
80,Cameron,57076,22.4,26.3,18.8,23.3,21.8,20.7,20.7,28.2,8.812487650661925,59.7,40.3,830,5415,132,9.972299168975068
81,Canton,52500,16.3,10.0,13.3,41.8,13.6,8.7,8.7,43.5,7.275464124435524,63.4,36.6,968,4408,250,9.528130671506352
82,Canyon,67631,11.9,16.4,10.9,20.3,20.2,7.4,7.4,15.3,10.610573343261356,54.4,45.6,919,15680,433,7.653061224489796
83,Carrollton,95380,6.0,7.6,6.0,15.7,4.7,5.0,5.0,14.6,3.3700189753320684,58.3,41.7,1555,133610,5592,7.58925230147444
84,Carthage,42788,15.0,24.9,17.2,13.8,26.2,18.7,18.7,0.0,10.914743904434626,67.1,32.9,680,6558,494,20.585544373284538
85,Castle Hills,102768,8.9,5.7,7.4,53.5,6.4,3.4,3.4,0.0,6.921906693711967,82.5,17.5,1469,3921,531,9.436368273399644
86,Castroville,72805,10.0,13.4,11.6,43.7,3.9,11.9,11.9,100.0,5.973756906077348,69.4,30.6,1203,3052,132,5.5701179554390565
87,Cedar Hill,84132,11.4,8.4,7.8,7.6,12.8,7.2,7.2,23.1,4.524990620701154,70.4,29.6,1676,48483,1994,7.115896293546192
88,Cedar Park,118903,4.9,6.1,5.1,23.9,9.6,5.9,5.9,17.3,2.3705363025431545,66.7,33.3,1677,79353,2724,8.229052461784685
89,Celina,142643,7.4,4.4,6.3,0.0,0.0,11.7,11.7,28.4,0.8930241256779502,90.5,9.5,1853,24190,557,4.175279040926003
90,Center,57875,31.9,30.6,22.3,17.5,35.0,15.3,15.3,24.4,14.977277217941118,58.2,41.8,942,5111,290,11.543729211504598
91,Chandler,53814,3.2,6.3,5.3,0.0,9.9,3.3,3.3,0.0,1.084262701363073,71.0,29.0,902,3529,66,2.5502975347123833
92,Childress,55500,15.1,13.2,14.9,51.3,5.8,9.9,9.9,18.9,2.029520295202952,63.0,37.0,858,5915,163,6.931530008453086
93,China Grove,99671,2.2,7.5,5.0,3.4,11.8,1.9,1.9,26.7,3.3007334963325183,91.2,8.8,-,1128,73,1.7730496453900708
94,Cibolo,116510,4.0,3.3,2.6,18.7,3.2,1.0,1.0,19.1,2.035373816019373,84.4,15.6,1872,34159,1231,9.104481981322639
95,Cisco,59698,3.5,3.9,3.6,0.0,12.0,2.0,2.0,0.0,0.2295552367288378,64.2,35.8,848,3902,168,12.04510507432086
96,Cleburne,60929,13.8,13.5,11.3,23.4,10.8,9.7,9.7,34.3,6.19683689640674,59.6,40.4,1198,32728,985,7.027621608408702
97,Clifton,56500,19.6,24.1,14.9,22.9,7.6,26.2,26.2,0.0,4.1062056190182155,66.9,33.1,964,3526,60,5.955757231990924
98,Clute,68306,6.5,12.4,6.1,11.4,11.0,2.3,2.3,4.5,3.667110013300398,50.7,49.3,1189,10557,902,29.932746045278012
99,Clyde,60799,10.9,12.9,9.3,15.3,17.1,5.8,5.8,24.0,3.95750332005312,74.8,25.2,1010,4038,138,8.915304606240714
100,Cockrell Hill,49810,7.3,9.5,6.8,9.7,4.8,6.7,6.7,23.6,1.5087347803070408,72.0,28.0,1009,3687,185,7.051803634391104
101,Coffee City,57917,2.1,6.3,4.7,0.0,0.0,12.5,12.5,0.0,3.557312252964427,82.7,17.3,1423,246,35,20.32520325203252
102,Coleman,49588,21.9,19.8,15.1,11.2,10.9,25.0,25.0,70.3,0.7700205338809034,64.8,35.2,731,3943,65,4.311437991377124
103,College Station,52397,28.4,28.5,9.7,31.5,14.6,11.0,11.0,51.7,18.847608703793867,36.3,63.7,1129,121618,5535,8.954266638162114
104,Colleyville,196298,3.1,3.6,3.7,0.7,6.4,5.0,5.0,3.3,1.644418649642097,95.9,4.1,2785,25897,656,2.7416303046684947
105,Collinsville,59525,9.1,13.0,12.7,27.6,10.0,11.1,11.1,0.0,3.505747126436782,59.6,40.4,1108,1993,16,5.017561465127947
106,Columbus,56250,11.6,11.5,8.2,19.9,6.9,2.1,2.1,0.0,6.215348701488182,74.2,25.8,856,3598,116,8.893829905503058
107,Comanche,47628,12.1,20.8,9.3,14.3,13.1,4.8,4.8,10.0,2.4533856722276743,69.8,30.2,814,4276,298,20.112254443405053
108,Combes,39555,18.2,16.8,14.5,20.8,8.7,17.9,17.9,4.2,4.870129870129871,81.8,18.2,859,3071,162,11.722565939433409
109,Commerce,41382,21.9,27.4,16.4,24.9,28.5,11.1,11.1,14.8,15.17580872011252,39.6,60.4,913,8876,485,15.772870662460567
