,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
984,San Juan ,51497,22.8,24.6,17.5,21.2,20.0,8.8,8.8,19.3,35282,4112,11.654668102715265,77.9,22.1,872
985,"San Leanna village, Texas",100000,5.9,9.9,8.6,18.8,10.4,10.9,10.9,0.0,492,4,0.8130081300813009,84.4,15.6,1675
986,San Marcos ,47394,21.6,33.2,15.7,17.2,18.1,23.7,23.7,46.8,60943,9808,16.093726925159576,28.9,71.1,1251
987,San Patricio ,61875,17.9,12.8,9.7,18.0,11.0,8.5,8.5,0.0,391,31,7.928388746803069,87.4,12.6,-
988,San Perlita ,30156,55.0,46.0,38.4,71.6,16.7,3.1,3.1,11.8,784,0,0.0,78.1,21.9,-
989,San Saba ,43224,19.6,18.7,17.0,22.1,19.1,13.9,13.9,45.5,2528,151,5.973101265822785,77.0,23.0,932
990,Sansom Park ,54909,30.0,18.2,19.0,27.5,24.9,0.0,0.0,10.2,5281,112,2.120810452565802,45.7,54.3,1150
991,Santa Anna ,43977,17.3,19.0,18.4,27.5,29.8,9.6,9.6,69.6,1242,105,8.454106280193237,61.9,38.1,439
992,Santa Clara ,85625,8.6,14.0,9.5,22.2,1.6,13.8,13.8,0.0,710,24,3.3802816901408446,91.9,8.1,908
993,Santa Fe ,91209,7.0,5.1,6.1,8.6,4.4,6.5,6.5,8.9,12723,423,3.3246875736854515,82.7,17.3,947
994,Santa Rosa ,27973,45.0,53.3,37.8,56.0,9.2,54.0,54.0,52.0,3093,445,14.387326220497897,53.8,46.2,811
995,Savoy ,54833,10.1,25.4,20.4,32.9,11.6,27.5,27.5,0.0,893,22,2.463605823068309,63.8,36.2,1031
996,Schertz ,94173,5.5,5.8,4.9,19.2,7.8,4.0,4.0,12.1,42249,1182,2.79769935383086,78.2,21.8,1513
997,Schulenburg ,49969,12.9,19.9,15.8,10.7,17.0,16.2,16.2,36.6,2479,329,13.27148043565954,62.4,37.6,1071
998,Scotland ,81667,5.3,7.5,9.1,0.0,17.1,0.0,0.0,33.3,562,18,3.202846975088968,81.5,18.5,904
999,Scottsville ,47500,38.7,32.1,31.2,76.5,41.8,12.5,12.5,-,279,9,3.225806451612903,92.4,7.6,1625
1000,Scurry ,90750,9.2,14.0,17.3,48.0,35.1,6.9,6.9,100.0,616,31,5.032467532467533,73.5,26.5,1063
